Taxi ID,Date,Time,Latitude,Longitude,Temperature
2,2002/1/14,04:59:42.289767+01,41.90973905,12.52093636,6.713926269
2,2002/1/14,05:59:53.820025+01,41.89765586,12.43131299,4.859195095
2,2002/1/14,06:00:08.032773+01,41.89785485,12.43087239,8.420163622
2,2002/1/14,21:43:17.489252+01,41.90671834,12.45207803,11.18424331
2,2002/1/14,23:13:21.944553+01,41.89233131,12.46970794,9.903256568
2,2002/2/14,00:00:10.410108+01,41.90371511,12.48836049,7.783267445
2,2002/2/14,00:37:46.751221+01,41.9094781,12.45146745,3.823744799
2,2002/2/14,01:41:37.278387+01,41.85678245,12.53711656,7.690919317
2,2002/2/14,01:41:57.332585+01,41.85358891,12.54410902,4.756525011
2,2002/2/14,04:22:13.029698+01,41.90853815,12.5416741,5.843685375
2,2002/2/14,05:06:01.71567+01,41.93477357,12.45264089,4.927379429
2,2002/2/14,06:00:09.25756+01,41.92453937,12.52721523,9.589064347
2,2002/2/14,06:11:39.53514+01,41.90971782,12.45188723,6.393592381
2,2002/2/14,19:55:40.275724+01,41.88621949,12.37759635,10.88936127
2,2002/2/14,20:11:06.328117+01,41.91325616,12.45318417,13.01524901
2,2002/3/14,00:00:04.608166+01,41.93619337,12.46612806,6.89486599
2,2002/3/14,00:03:33.072459+01,41.92609589,12.45775009,8.690752314
2,2002/3/14,00:10:11.99863+01,41.9095902,12.45223128,5.623117755
2,2002/3/14,21:23:41.850824+01,41.89977645,12.43103046,10.10068484
2,2002/3/14,21:56:48.19069+01,41.90708752,12.45525389,13.38191648
3,2002/2/14,15:43:45.918635+01,41.92568367,12.51594143,16.00642525
3,2002/2/14,18:21:43.306583+01,41.85728822,12.4945423,13.41696533
3,2002/2/14,18:29:29.248467+01,41.83918228,12.45156285,10.35275108
3,2002/2/14,21:24:18.809608+01,41.87728767,12.45230967,9.492619641
3,2002/2/14,23:59:56.35948+01,41.90624921,12.48160355,11.84288917
3,2002/3/14,00:14:43.587957+01,41.92613436,12.50531587,8.450397627
3,2002/3/14,00:26:12.034816+01,41.95302419,12.52137018,7.426913621
3,2002/3/14,15:33:19.748799+01,41.94849719,12.51395633,13.61351876
3,2002/3/14,15:54:10.719275+01,41.92601935,12.45683947,15.64976271
3,2002/3/14,18:16:39.079285+01,41.92652533,12.46175013,11.20662654
3,2002/3/14,20:28:01.012799+01,41.85535312,12.51130952,12.83335093
3,2002/3/14,23:27:13.448117+01,41.87200378,12.54077446,11.38012783
3,2002/3/14,23:59:53.282265+01,41.90949102,12.47625951,13.2114211
4,2002/3/14,13:14:41.121329+01,41.92172149,12.4186035,12.42799368
4,2002/3/14,14:19:05.560091+01,41.9274769,12.52425344,14.58012711
4,2002/3/14,17:44:32.301157+01,41.86692627,12.54119474,14.7156221
4,2002/3/14,17:59:54.957112+01,41.86904082,12.53834576,16.01444211
4,2002/3/14,18:00:09.649217+01,41.86909759,12.53821872,13.05134751
4,2002/3/14,22:47:05.569171+01,41.92155752,12.41763984,9.180988096
4,2002/4/14, 22:40:36.328624+01,41.92664811,12.42697189,8.507594367
7,2002/1/14,20:04:34.968829+01,41.88890305,12.45256953,9.991916688
7,2002/1/14,20:13:35.982065+01,41.90169686,12.4700072,10.06591575
7,2002/2/14,03:18:26.027405+01,41.85613704,12.51092124,7.21830271
7,2002/2/14,05:59:09.091773+01,41.89867777,12.45246939,5.835217125
7,2002/2/14,05:59:53.670437+01,41.89596739,12.45519637,6.803439885
7,2002/2/14,06:06:08.669859+01,41.89975618,12.45350622,9.487162272
7,2002/2/14,06:17:23.963402+01,41.88264925,12.42093772,7.694680784
7,2002/3/14,07:50:16.329017+01,41.89378006,12.42855509,8.490040096
7,2002/3/14,08:32:39.687778+01,41.92636732,12.42744953,8.796753434
7,2002/3/14,08:58:32.908477+01,41.85421118,12.37766345,7.722341846
7,2002/3/14,09:59:03.039603+01,41.84067068,12.45443586,10.85605594
7,2002/3/14,11:43:03.190763+01,41.85795339,12.4956252,11.46274982
7,2002/3/14,12:00:03.056604+01,41.90407659,12.49422202,18.38687793
7,2002/3/14,12:00:10.637742+01,41.83357398,12.47029435,18.45093376
7,2002/3/14,12:39:43.586575+01,41.84269361,12.54152094,12.93097484
7,2002/3/14,13:01:43.557545+01,41.80130996,12.45096783,9.892509961
7,2002/3/14,13:32:16.566166+01,41.8761182,12.41747682,10.31970473
8,2002/1/14,13:07:15.79357+01,41.90046893,12.53981711,14.47755263
8,2002/1/14,15:10:00.973684+01,41.90036036,12.54719515,13.55289375
8,2002/1/14,15:14:46.985016+01,41.92768013,12.60590613,12.49598008
8,2002/1/14,17:32:13.714701+01,41.8704487,12.45089359,12.78906075
8,2002/1/14,18:03:47.937172+01,41.87002866,12.50206593,11.60578856
8,2002/1/14,21:35:50.570795+01,41.92649838,12.52631702,9.939992296
8,2002/1/14,22:59:35.22905+01,41.90888164,12.5451658,10.98824718
